Customer Name,Marketer,Region,Status
Pharmedic Lab,Mashood Ahmad,Lahore,Developed
Pharmix Lab,Aaira Khan,Lahore,Developed
Popular Chemical Works,Hasnain Shams,Lahore,Developed
Prix Pharmaceuticals (Pvt.) Ltd.,Aaira Khan,Lahore,Undeveloped
Pulse Pharmaceuticals (Pvt.) Ltd.,Hamza Ali Khan,Lahore,Developed
Qadir Pharma,Mashood Ahmad,Lahore,Developed
Qintar Pharmaceutical,Mashood Ahmad,Lahore,Developed
Quaper (Pvt.) Ltd.,Hamza Ali Khan,Lahore,Developed
Raazee Therapeutics (Pvt.) Ltd.,Mashood Ahmad,Lahore,Developed
Radiant Pharma (Pvt.) Ltd.,Hasnain Shams,Lahore,Undeveloped
Rasco Pharma,Hamza Ali Khan,Lahore,Developed
Remington Pharmaceutical Industries (Pvt.) Ltd.,Mashood Ahmad,Lahore,Undeveloped
Route 2 Health,Mashood Ahmad,Lahore,Developed
Ruth Pharmaceuticals,Hasnain Shams,Lahore,Undeveloped
Saffron Pharmaceuticals (Pvt.) Ltd.,Hasnain Shams,Lahore,Undeveloped
Sapient Pharma,Hamza Ali Khan,Lahore,Developed
Saturn Pharmaceuticals (Pvt.) Ltd.,Mashood Ahmad,Lahore,Developed
Searle IV Solutions (Pvt.) Ltd.,Hasnain Shams,Lahore,Undeveloped
Spectrum Laboratories,Hasnain Shams,Lahore,Undeveloped
Schazoo Zaka (Pvt.) Ltd.,Mashood Ahmad,Lahore,Undeveloped
Seatle Pharmaceuticals Pakistan Ltd.,Abdul Moeez,Lahore,Developed
Selmore Pharmaceuticals (Pvt.) Ltd.,Hasnain Shams,Lahore,Developed-GGC
Sharex Labs.,Hasnain Shams,Lahore,Developed
Shrooq Pharmaceuticals (Pvt.) Ltd.,Aaira Khan,Lahore,Developed
Siza International,Mashood Ahmad,Lahore,Developed
Skims Pharmaceutical,Hasnain Shams,Lahore,Developed
Stallion Pharmaceuticals (Pvt.) Ltd.,Hasnain Shams,Lahore,Undeveloped
Standpharm Pakistan,Hasnain Shams,Lahore,Developed
Star Laboratories,Aaira Khan,Lahore,Developed
Sunshine Pharamceuticals,Imran Khan,Lahore,Developed
Symans Pharma,Mashood Ahmad,Lahore,Developed
Synchro Phaarmaceuticals,Imran Khan,Lahore,Developed
Theramed Pharmaceutical,Hamza Ali Khan,Lahore,Developed
The Schazoo Pharmaceutical Laboratories (Pvt.) Ltd.,Imran Khan,Lahore,Developed
T.N. Pharmaceutical,Hasnain Shams,Lahore,Developed
Titlis Pharma,Mashood Ahmad,Lahore,Developed
Trend Pharma,Mashood Ahmad,Lahore,Developed
Trigon Pharma,Mashood Ahmad,Lahore,Developed
Trison Research Labortoreis (Pvt.) Ltd.,Hasnain Shams,Lahore,Undeveloped
Unexo laboratories,Imran Khan,Lahore,Developed
Unison Chemical Works,Mashood Ahmad,Lahore,Developed
Variant Pharmaceuticals (Pvt.) Ltd.,Mashood Ahmad,Lahore,Developed
Vetrox Pharmaceuticals,Hasnain Shams,Lahore,Developed
Vega Pharmaceuticals (Pvt.) Ltd.,Hasnain Shams,Lahore,Developed
Venus Pharma (Pvt.) Ltd.,Mashood Ahmad,Lahore,Developed
Wallace Pharma Evolution,Hasnain Shams,Lahore,Undeveloped
Well Wink Pharmaceuticals,Imran Khan,Lahore,Developed
Wilshire Labs (Pvt.) Ltd.,Hasnain Shams,Lahore,Undeveloped
WinLet Pharma,Hamza Ali Khan,Lahore,Developed
World Biz Pharmaceuticals,Hamza Ali Khan,Lahore,Developed
Xenon Pharamaceuticals (Pvt.) Ltd.,Mashood Ahmad,Lahore,Developed
Zakfas pharmaceuticals (Pvt.) Ltd.,,Lahore,Developed
Zamko Pharmaceuticals (Pvt.) Ltd.,Mashood Ahmad,Lahore,Developed
Zenith Chemical Industries (Pvt.) Ltd.,Hasnain Shams,Lahore,Undeveloped
Zeta Pharma,Hamza Ali Khan,Lahore,Developed
Advanced Pharmaceutials,Imran Khan,Islamabad,Developed
Aims Pharmaeuticals,,Islamabad,Developed
Akson Pharmaceuticals,Imran Khan,KPK,Developed
Alliance Pharmaceuticals Pvt .Limited,Aaira Khan,KPK,Developed
Alpenglow Pharmaceuticals Pvt. Limited,,KPK,Undeveloped
Ambrosia Pharmaceuticals,Hamza Ali Khan,Islamabad,Developed
Amson Vaccine & Pharma Pvt Ltd,Imran Khan,Islamabad,Developed
Amster Labs,Imran Khan,Islamabad,Undeveloped
Anthro API-GEN (Pvt.) Ltd.,Imran Khan,Islamabad,Developed
